,campaign_id,ad_id,impressions,clicks,spent,date,reach,link_external_clicks,join_rate
0,1029036510,162032084,3187,9,"277,00",2023-09-04,2960,4,0
1,1029036510,162032084,3014,5,"276,52",2023-09-05,2471,3,0
2,1029036510,162032084,2899,4,"277,00",2023-09-06,2364,1,0
3,1029036510,162032084,2885,10,"277,00",2023-09-07,2396,5,0
4,1029036510,162032084,3051,4,"277,00",2023-09-08,2219,1,0
5,1029036510,162032084,3151,11,"277,00",2023-09-09,2319,4,0
6,1029036510,162032084,3141,4,"277,00",2023-09-10,2301,2,0
7,1029036510,162032084,3274,7,"277,00",2023-09-11,2379,5,0
8,1029036510,162032084,1624,8,"159,72",2023-09-12,1459,2,0
9,1029036510,162032004,2799,11,"274,56",2023-09-04,2408,3,1
10,1029036510,162032004,2830,7,"276,98",2023-09-05,2554,6,0
11,1029036510,162032004,2507,9,"277,00",2023-09-06,2344,4,1
12,1029036510,162032004,2645,9,"277,00",2023-09-07,2391,4,1
13,1029036510,162032004,2757,4,"276,95",2023-09-08,2287,3,0
14,1029036510,162032004,2811,5,"277,00",2023-09-09,1953,3,0
15,1029036510,162032004,3039,6,"277,00",2023-09-10,2198,3,1
16,1029036510,162032004,3226,8,"275,64",2023-09-11,2233,5,0
17,1029036510,162032004,1469,1,"149,07",2023-09-12,1275,1,0
18,1029036510,162032004,1,0,0,2023-09-13,1,0,0
19,1029036510,162032004,1,0,0,2023-09-14,1,0,0
20,1029036510,162031691,3098,6,"277,00",2023-09-04,2697,4,0
21,1029036510,162031691,2784,8,"276,89",2023-09-05,2418,7,0
22,1029036510,162031691,2735,5,"277,00",2023-09-06,2201,5,0
23,1029036510,162031691,2970,6,"277,00",2023-09-07,2119,6,0
24,1029036510,162031691,2971,11,"277,00",2023-09-08,2111,5,1
25,1029036510,162031691,2731,4,"277,00",2023-09-09,2183,4,0
26,1029036510,162031691,2906,7,"276,72",2023-09-10,2107,4,0
27,1029036510,162031691,2733,9,"276,79",2023-09-11,2197,5,0
28,1029036510,162031691,1560,2,"148,05",2023-09-12,1363,2,0
29,1028988655,161702824,4839,9,"500,00",2023-08-31,4174,4,0
30,1028988655,161702824,5464,11,"500,00",2023-09-01,3983,6,0
31,1028988655,161702824,5480,13,"500,00",2023-09-02,3960,7,0
32,1028988655,161702824,5764,14,"500,00",2023-09-03,4431,8,0
33,1028988655,161702824,5164,8,"441,73",2023-09-04,3648,5,0
34,1028988655,161702824,0,1,0,2023-09-05,0,1,0
35,1028988655,161702638,5167,13,"499,76",2023-08-31,4174,3,0
36,1028988655,161702638,5705,9,"500,00",2023-09-01,3979,5,0
37,1028988655,161702638,5703,15,"500,00",2023-09-02,3739,8,0
38,1028988655,161702638,5708,14,"500,00",2023-09-03,3788,6,0
39,1028988655,161702638,5261,10,"443,50",2023-09-04,3607,4,0
40,1028988655,161702638,1,0,0,2023-09-06,1,0,0
41,1028988655,161511884,2569,11,"249,61",2023-08-28,2334,5,0
